date,time,encounter,tide,group_size,calf_presence,behavior,call_category
10/8/2021,12:29:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:29:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:29:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:29:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:29:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:29:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:30:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:31:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:31:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:31:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:31:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:31:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:31:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:31:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:31:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:31:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:31:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:31:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:31:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:32:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:32:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:32:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:32:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:32:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:33:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:33:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:33:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:33:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:33:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:33:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:33:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:33:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:33:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:33:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:33:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:33:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:33:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:34:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:35:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:35:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:35:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:35:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:35:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:35:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:35:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:35:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:35:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:35:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:35:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:35:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:35:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:35:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:35:00,8,Ebb,53,yes,Travel,ws
