date,time,encounter,behavior,call_type,call_category,minute,behav_s,difftime_s,behav_next,difftime_next
9/17/2021,13H 21M 0S,4,Mill,pulse.flat.seg,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.d,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,flatws,ws,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,modws,ws,15,1,14,18,-3
9/17/2021,13H 22M 0S,4,Mill,pulse.a,pc,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,c.9,cc,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,pulse.flat.seg,pc,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,modws.seg,ws,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,c.9,cc,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,aws,ws,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,pulse.mod,pc,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,aws,ws,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,aws,ws,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,aws,ws,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,aws,ws,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,aws,ws,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,aws,ws,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,aws,ws,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,aws,ws,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,aws,ws,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,modws,ws,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,pulse.d,pc,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,pulse.d,pc,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,pulse.d,pc,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,c.9,cc,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,pulse.flat,pc,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,pulse.flat.seg,pc,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,flatws,ws,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,flatws,ws,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,aws,ws,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,pulse.a,pc,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,pulse.flat.seg,pc,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,pulse.flat.seg.2,pc,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,pulse.flat,pc,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,pulse.d,pc,16,1,15,18,-2
9/17/2021,13H 22M 0S,4,Mill,c.9,cc,16,1,15,18,-2
